Nazwa,Adres,Godziny,Telefon,Email,Strona,Logo,Zdjęcie,Facebook,Instagram,YouTube,latitude,longitude
Galeria Piekary,"Święty Marcin 82, Poznań",Pn-Pt: 10:00-18:00,61 811 35 55,galeriapiekary@galeria-piekary.com.pl,https://galeria-piekary.com.pl/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvKsVVgdIbzj-8yIVJXmGfyKxLMDqG52ovJg&s,https://ckzamek.pl/media/gallery/md/DSC_7059__kopia_uCrj5OS.JPG,https://www.facebook.com/Galeria.Piekary/?eid=ARDF_2N_cU6KBJihIfSZCvc0PpSAz_L7D_kfm-oJoVd1Ngv2BPpUjNRs2pNlpbqY-LeWcLuDEgMpOgY8,https://www.instagram.com/galeriapiekary/,,,
Brodziak Gallery,"Głogowska 18, Poznań",Pn-Sb: 11:00-18:00,795 770 771,gallery@szymonbrodziak.com,https://szymonbrodziak.com/,https://szymonbrodziak.com/media/wysiwyg/Brodziak_Gallery_Logo_miniatura_1..jpg,https://ocdn.eu/pulscms/MDA_/6c2d5a5398690ce73b2b351f7bf80db4.jpg,https://www.facebook.com/BrodziakGallery/,https://www.instagram.com/brodziakgallery/,,,
Galeria Muzalewska,"Głogowska 29, Poznań",,603 399 718,galeriamuzalewska@witryna.pl,https://galeriamuzalewska.pl/,,,https://www.facebook.com/p/Galeria-Muzalewska-100057505626874/,https://www.instagram.com/galeriamuzalewska/,,,
Rodríguez Gallery,"Wodna 13, Poznań",Śr-Sb: 13:00-18:00,606 908 087,agata@rodriguezgallery.com,https://rodriguezgallery.com/pl/,https://rodriguezgallery.com/wp-content/uploads/2023/12/Logo_resized.jpeg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJW9_uvuV4RUmBTkRB6JLeRBEEGui3v0_0rQ&s,https://www.facebook.com/Rodriguezgallery/,https://www.instagram.com/rodriguez_foundation/,,,
Galeria Jerzego Piotrowicza Pod Koroną,"Kramarska 3, Poznań","Wt-Sb: 12:00-18:00, Nd: 12:00-16:00",728 916 753,galeriajerzegopiotrowicza@gmail.com,https://galeriajerzegopiotrowicza.pl/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuEhKiznK_UAyb7bp1PTOVAPvCLW_7ZDo8zQ&s,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nojkfPr2pAlphJqPMXNh6f5K1gYqZXLKhLO_ktCrCBWQNaRuxaElwPf3TrJi2caOVVuLc5uutVey-0w13v6ayLp5xp9BzOzzLl5B2yS-U8JoShCZO4JRXiz1B8bux2Rle3eJ-W6=s1360-w1360-h1020-rw,https://www.facebook.com/galeriajerzegopiotoriwczapodkorona/,https://www.instagram.com/galeriapodkorona/,,,
Galeria Centrala,"plac Ratajskiego 6a, Poznań","Śr: 18:00-19:00, Czw-Pt: 15:00-19:00, Sb: 11:00-16:00",579 643 060,contact@centrala.art,https://www.centrala.art/,https://www.centrala.art/wp-content/uploads/2019/11/centrala_poziom.png,https://nocmuzeow.poznan.pl/content/uploads/2023/04/Galeria_Centrala_Pl_Ratajskiego_6A-scaled.jpg,https://www.facebook.com/CENTRALA.art/,https://www.instagram.com/centrala.art/,,,
Fotoplastykon Poznański,"Ratajczaka 44, Poznań","Pn-Pt: 10:00-18:00, Sb:10:00-17:00",61 854 07 52,fotoplastykon@fotoplastykon.com.pl,https://www.fotoplastykon.com.pl/?page_id=5052,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvtO1MA9PvUqhkzUGGrixbqY9Pob77fSFVJg&s,https://www.fotoplastykon.com.pl/wp-content/uploads/2016/01/DSCF8102-672x372.jpg,https://www.facebook.com/fotoplastykonpoznanski/,https://www.instagram.com/explore/locations/2327840907228939/fotoplastykon-poznanski/?__d=1,,,
Galeria Jak,"Święty Marcin 37, Poznań",,693 083 144,galeriajak@gmail.com,https://galeriajak.pl/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6pDSsSLhuapU8L7ZMFbGHztKpJ_K1jDUvmA&s,https://lh3.googleusercontent.com/p/AF1QipMUVYHAv53AgxHswtqh9roGEzhcOuSFiKZBtHUc=s1360-w1360-h1020-rw,https://www.facebook.com/galeriajak/?locale=pl_PL,https://www.instagram.com/galeria_jak/,https://www.youtube.com/channel/UCK8QHZYjp2P9A_H4yYk276g,,
Kolor i kropka,"Rembertowska 15, Poznań",,663 786 333,studio@kolorikropka.pl,https://www.kolorikropka.pl/,https://www.kolorikropka.pl/wp-content/uploads/2023/04/kolor-i-kropka_logo_czarne.png,https://www.kolorikropka.pl/wp-content/uploads/2023/05/DSC_0442-scaled.jpg,https://www.facebook.com/kolorikropkastudio/,https://www.instagram.com/kolor_i_kropka/,,,
Galeria ZACNIE,"Garbary 50, Poznań",Wt-Śr: 12:00-18:00,,galeriazacnie@gmail.com,https://galeriazacnie.pl/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwct3_JK10Hk99hTzbxjMihZi4Y0dk2JK7Hw&s,https://galeriazacnie.pl//content/uploads/2021/05/2019-11-22-zacnie-wystaw-20-2020-24.jpg,https://www.facebook.com/galeriazacnie/,https://www.instagram.com/galeriazacnie/,,,
Galeria Szczur,"Składowa 11, Poznań",Pt-Sb: 17:00-19:00,698 305 628,galeriaszczur@gmail.com,,,,https://www.facebook.com/galeriaszczur/,https://www.instagram.com/galeria_szczur/,,,
Pyramida Gallery,"Garbary 64, Poznań","Wt-Sb: 12:00-18:00, Nd:12:00-17:00",698 746 423,galeria@pyramidahub.com,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9n1H18Yw8lGY-j1qDQ-JmPh8ilmPu6A8QHw&s,https://lh3.googleusercontent.com/p/AF1QipNvuUS4FWdWDcVGKFBJlHLuHyVKbb4D8rPdPH1w=s1360-w1360-h1020-rw,https://www.facebook.com/PyramidaGallery/,https://www.instagram.com/pyramidagallery/,,,
Łazęga Poznańska,Święty Marcin 75,Pn-Nd: 16:00-20:00,602 198 601,,,https://offcinema.ckzamek.pl/media/gallery/sm/azega.png,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrTOZhkXxIo_hnu7tU9A7jPBV8wuyr1dQ7j-UkJv4enQ6JG6oYmW1-x_WWQjp0FBRxQW9Ie3P90fg0F5cfSR2Se_KRd2zxIPB1mVDvt4RqA1PoTteE43f3goQUa3xasOe2rYwA=s1360-w1360-h1020-rw,https://www.facebook.com/lazegapoznanska/,https://www.instagram.com/lazegapoznanska/,,,
